,Bio_personality,food_drink,hobby_interests
2720,Thích ở một mình ,"Mì quảng,bò kho","Thích đá bóng, thích chơi game"
2721,Hướng Ngoại,Trà Đào,Đánh Cầu Lông
2722,Hướng nội ít nói,Sandwich ,Nghe nhạc
2723,Hướng nội ít nói thik ở một mình,"Coca cola , cơm ,snack",Đọc manga xem anime xem phim âu action  nghe nhạc
2724,"hòa đồng, cởi mở, thân thiện",Trà sữa,"lập trình, đá bóng, cầu lông, kiếm tiền"
2725,"Thích ở một mình, nhưng lại thích giao lưu =))",Cơm nước ngọt blahblah,"Đá bóng, thể thao"
2726,"Mình là dễ gần, hòa đồng","Trà sữa, nước ngọt","Nghe nhạc, đọc sách"
2727,"Hòa đồng, chia sẽ, quan tâm người khác","Cơm gà, hũ tiếu, sting, coca cola","Thích đá bóng, bóng chuyền, cầu long."
2728,người hướng nội ,ăn đồ tự nấu ,chơi game 
2729,ít nói ,Cafe,Thiên Văn Học 
2730,Hướng nội,"Trà dâu, bún bò",Đếm tiền 
2731,Hướng ngoại vui vẻ hòa đồng ,Trà sữa ,Bơi lội và game 
2732,Trầm tính,Bún bò,Thích chơi với chó mèo
2733,hướng lung tung ,thịt nướng,ngủ
2734,"Là người vừa hướng nội vừa hướng ngoại, thích đi chơi cùng những người bạn thân thiết và làm quen nhiều bạn mới","Gà rán, bimbim, bún, hủ tiếu ….","Thích nghe nhạc, xem phim đặc biệt là thích nhạc của Sơn Tùng M-TP"
2735,Là một người thiếu ngủ,Đi ăn với bạn,"Thể thao, học toán, ngủ"
2736,"Thích vui vẻ, nhộn nhịp, khá hòa đồng","Thích ăn vặt, uống trà sữa",Chơi game
2737,Hướng nội,"Bánh mì, xôi, coca cola","Trồng cây, Hích võ Taekwondo"
2738,Tùy lúc,Thịt nướng ,Nghe nhạc 
2739,"vui tính, hoà đồng, hướng ngoại và thích được đi chơi","đùi gà, 7up, trà đào, bún đậu mắm tôm, bia","đá bóng, bóng rổ, cafe, đi chơi cùng bạn bè người thân"
2740,Ở nhà hướng nội ra đường hướng ngoại 🙄,"Gà  rán  , gà hấp nước mắm , cháo gà, lẩu gà , bò né , bò nướng , lẩu bò , bún bò  , bún riêu , cháo lòng, bánh canh , bún mắm, lẩu thái , canh kim chi , mì xào , hủ tiếu xào , bánh bao , ham bơ gơ , bánh xèo , bánh tép , bánh chuối chiên , hột vịt lộn rang me , cút lộn rang me , chè bưởi , trà sữa , nem nướng , ......... ",Ngủ coi phim ăn 
2741,Hướng ngoại,"Những món ăn liên quan đến kim chi, cơm cháy kho quẹt, các loại bún, các loại thịt nướng, hải sản, các loại lẩu,... Thật ra thì ngoại trừ rau cần, thì cái gì mình cũng ghiền nhưng điều kiện là phải nấu ngon, vị đậm đà😋","Đi phượt, ngắm bầu trời, đạp xe đạp, tập thể dục ngoài trời, nấu ăn và được ăn, đọc sách, coi anime, decor phòng, tập trung nghiên cứu một vấn đề nào đó, đi từ thiện và tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh. "
2742,Hướng ngoại,Kem,Ngủ
2743,Mê chơi đá gà,Thích ăn gà,Thể hình
2744,Ít nói hướng nội,Cá dồ kho,Choi game
2745,Hướng nội part time,Thịt kho tàu,Đá banh
2746,"Nói nhiều, thích vui chơi",Bánh chocopie,Thích đi karaoke
2747,"Lúc nói nhiều lúc nói ít, thiên về cảm xúc nhiều hơn lí trí","Thích ăn đồ ăn của mẹ với cậu nấu. Thích nhất là canh khổ qua, đậu hũ cà chua.","Thích vẽ, thích đọc"
2748,Vui vẻ hoạt bát năng động nhưng hơi hướng nội,"Trà đào , tắc ,0 độ , các loại bạn","Chơi cầu lông ,game , nhảy dây , ngủ"
2749,"Ít nói, yên tĩnh","Canh cải, cá kho,...",Tìm hiểu về văn hóa các nơi 
2750,Ít nói hướng nội,"Bún đậu mắm tôm, nước Cam",Thích đọc sách
2751,"Hoà đồng, nhưng ít nói",Bánh . nước coca . mì cay...,Thích 
2752,"ít nói, hướng nội và thích ở 1 mình","pepsi, mì cay, xôi, bánh mì, cơm chiên, trà sữa, trứng,...","đá bóng, bóng rổ, thích coi phim, đi du lịch,  đi cắm trại, chơi game"
2753,Thích giao lưu ,"Gà rán , xôi , trà sữa",Thích môn toán
2754,Là người  hướng nội,Thích  đồ ngọt,Thích  đi  du lịch 
2755,Hướng nội,Bánh tráng các loại ,Ngủ 
2756,Hướng ngoại part-time ,Thích ăn trứng vịt lộn ,Đu OTP
2757,Giống ví dụ,Đồ nướng và nước gas,Tiền
2758,Là người hướng nội part time ,"Thích ăn mì cay, bún đậu mắm tôm ",Thích nghe nhạc 
2759,"mình là một người hướng ngoại, thích đi dây đó, và trải nghiệm","mình rất thích ăn đồ ăn cay, đặc biệt là mì cay","thích khám phá xung quanh, đá bóng, đá cầu"
2760,"năng động, thích đi các hoạt động xã hội","mình thích uống trà sữa, hoặc các loại nước có gas","thích đánh cờ, chơi đàn"
2761,Hướng nội nữa mùa,"Bún cá, bún riêu , bánh ướt , trà đá ","Du lịch , khám phá xung quanh "
2762,"Hướng nội, khác trầm ",Red bull và bánh xèo ,"học hỏi, thể thao và du lịch "
2763,Nói nhiều,Trà đào thạch sữa,Thích học bài 
2764,Hòa đồnh,"Bánh bột lọc, nước rau má","Vẽ, làm mô hình, viết lách, đọc sách"
2765,Mình khá ít nói cũng như là hướng nội,Bánh mì ,"Nghe nhạc, hít thở không khí trong lành ở công viên, đọc sách.."
2766,"Ít nói, hướng nội, nhạy cảm, thích ở một mình.",Cái gì cũng thích ăn,"Nghe nhạc, đi chơi, ăn uống, du lịch, kiếm tiền và tiêu tiền."
2767,"Thân thiện, tùy lúc, lúc hướng nội lúc hướng ngoại","Gà rán, trà sữa,...","Học hóa, đánh cờ vua, lướt mạng, nghe nhạc "
2768,"Hòa đồng, vui vẻ, nhiệt tình",Thịt,Chơi game
2769,thích ở một mình ,các thế loại mì,nhảy
2770,Hướng nội ,Coca-cola ,Đọc sách
2771,"Mình là ambivert
Có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự","Mình thích ăn đồ ngon=))))
Ăn chay hay ăn mặn gì cũng đc","Thích học ngôn ngữ anh, đọc sách, chơi thể thao và thử nhiều điều mới"
2772, là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime và sống lowkey,"socola, buger, pizaa ...","chụp ảnh, edit, xem phim, và chơi game"
2773,"Một người hướng ngoại với bạn bè, hướng nội với người ngoài",Chocolate,"Hát, nhảy, chính trị, khoa học"
2774,"Bạo lọan, náo động vùng trời :) ",Có ăn . Nhiều lắm nào cũng ăn được,Nhiều lắm . Chơi được đa nghề :) 
2775,Hướng nội + ngoại part time,Bánh Mì,Badminton
2776,Hướng nội ,Cũng không biết nữa 😂,Cũng không biết thích gì 
2777,Nói nhiều và thích tự lập ,Nước ép trái cây và bánh ngọt ,Thích đi bộ 
2778,Mình là người hướng nội thích ở 1 mình hoặc có không gian cá nhân,"Không đặc biệt yêu thích gì, chỉ cần không cay là được",Mình thích ngôn ngữ
2779,"Vui vẻ, hay ngại",Món j có topping thì đều thích,Thích ngồi lướt mạng XH cả ngày
2780,Không thích sự ồn ào,Cafe,Ko thích gì hết
2781,"Người đang học trường FPT, là người ít nói chuyện",thích ăn món mì cay,"cờ vua, cờ tướng"
2782,"mình là một người hướng nội, ít nói chuyện ","thích ăn mì cay, uống caffee vào mỗi buổi sáng ","thích khoa học, thích đá bóng, bơi lội."
2783,"hướng ngoại, đôi khi hướng nội, tính cách thất thường, sáng nắng chiều mưa","mình ăn uống healthy nền chỉ uống nước ép trái cây, không uống nước ngọt có ga","mình thích chạy bộ vào buổi sáng, đánh cầu lông vào buổi chiều, đi xe đạp vào buổi tối"
2784,"mình là một người thích vẽ năng động, và thích tham gia các hoạt động xã hội",mình rất thích đồ ăn vặt và đồ nướng và đặt biệt là trà sữa,"mình rất thích nghệ thuật và thường hay quan tâm những tin tức về nó, mình còn có thể chơi cầu lông nữa"
2785,Hướng nội,Pizza,Thích đá bóng
2786,Hướng nội,Ăn cơm,Thích đọc sách
2787,"Hướng ngoại 65% và hướng nội 35%, tôi thích nói chuyện với mọi người nhưng đồng thời tôi cũng có những lúc thích một mình ",Socola ngọt ngào có chút đắng,Đọc sách
2788,Hướnh ngoại,"Phở , hamburger , mì",Hát
2789,"Hướng nội thích ở 1 mình, ko thích  đi chơi",Ăn cơm gia đình tự nấu,Xem youtube ngủ nghỉ ngơi
2790,Hướng nội tích cực ,Ăn được uống được ,Vẽ 
2791,Hướng nội,Bún đậu,Bóng rổ
2792,"là một người nhiệt tình, hoạt bát, yêu thiên nhiên",lẩu cá đuối,bóng đá
2793,Hướng ngoại nhưng có xu hướng thích ở một mình (hoặc thêm người nhưng được yên tĩnh),"Đồ ăn vặt hoặc đồ hàn, nhật, đồ ngọt","Bóng rổ, đọc sách, xem phim, âm nhạc ( nghe nhạc), đàn guzheng"
2794,"Ít nói, hoà đồng nhưng cũng thích ở một mình",Đồ ăn ngọt,Đọc sách
2795,"Hướng ngoại, thích kết bạn ",đồ ăn Hàn Quốc,online shopping
2796,ambivert,đồ ăn nhanh,nghe nhạc
2797,hướng nội thích không gian yên tĩnh,"bánh mì, cà phê sữa, đồ ngọt","thích đọc sách, thư giãn, pha chế, nấu ăn"
2798,Vui vẻ hoà đồng,Đồ ăn nhanh và coca,Chơi hame
2799,"Dễ tính, xàm , nói nhiều ",Mì Nước lọc,Chơi yasua
2800,Là một người khiêm nhường và có lòng tự trọng,"thịt kho mắm ruốc, mắm chưng, cá tra nhúng giấm, sinh tố bơ, nước ép thơm",học tiếng Nhật
2801,Đôi lúc hướng ngoại đôi lúc hướng nội,Mỳ cay,Học ngoại ngữ
2802,"Thích yên tĩnh, thích ở 1 mình, ghét phiền phức, không thích giao tiếp với người lạ ",Cà phê,"Nằm dài nghe nhạc, uống cà phê"
2803,thích kết bạn,đồ ăn healthy,nấu ăn
2804,thích tự do,đồ ăn nhà nấu,"thể thao, chăn nuôi"
2805,Là một người ít nói hướng nội ,"Bún đậu, mì cay, nước ép","Bơi lội, xem phim, nấu ăn "
2806,Tính cách thất thường,Cứ đồ ăn là thích,"Xem phim, mua sắm"
2807,Hướng nội,"Khoai tây, trà",Vẽ
2808,Hướng nội,Mì cay,Toán
2809,"Hướng trung (Ambivert) lúc thích một mình, nhưng không phải e sợ đám đông","Ăn pizza, bánh gai, phở bò, bún chả",Nghiên cứu về tài chính
2810,"Hướng nội - ngoại, nóng nảy - ưu tư, thích ở một mình- lúc thích nói chuyện nhiều người","Ăn đồ cay, và đồ bún phở việt nam",Tiền
2811,"Là một người nội, thích nghệ thuật","Nem nướng, rau má mix","Thích vẽ, hát"
2812,"Hướng nội, thích tận hưởng không gian 1 mình","Phở bò, pepsi","Lịch sử, văn học"
2813,Hướng nội nhưng thích làm social media,"Bún bò, thịt nướng",Học ngoại ngứ
2814,Hướng nội,"Gà phô mai, trà sữa",Vẽ 
2815,"Có lúc hướng nội, lúc hướng ngoại","Cháo lòng, bún thịt nướng, bún rêu, olong","Làm gốm, vẽ, xem phim, ngủ:))"
2816,"Hoà đồng, vừa thích một mình vừa thích đông vui",Thích đồ chay,Gym 
2817,Thích ở 1 mình,"Bánh mì kẹp, lẩu chay, nước dừa","Game, truyện, phim, tin khoa học, hóng drama "
2818,"Hướng ngoại, thích đi chơi ở ngoài với bạn bè",Đồ bình dân hoi. ,Lưới fb
2819,"Hướng ngoại, dễ hòa nhập",Eatclean,"Viết lách, nghe nhạc"
2820,Ít nói,"Cơm, rau","Đọc sách, đi chơi"
2821,Là một người hướng nội thích ở một mình,Không quá kén chọn,"Gym , game online"
2822,"Ít nói, thích ở một mình, hoà đồng","Sting, kem, xúc xích",Nghe nhạc
2823,Hướng ngoại,Món ăn Health,Thích chơi game
2824,"thích 1 mình, lười làm việc nhà, không thích nói nhiều","các loại mì, cơm trộn, đồ cuốn
pepsi, nước trà (như c2, không độ), redbull
không thích cafe gói, chỉ thích cafe phin","thích bơi, thích xem tivi, thích ngủ, thích chơi game offline, đọc truyện tranh, xem mv ca nhạc, tụ tập với bạn bè, thích đồ ăn nhạt, tắm (2l/ngày), trang điểm, đi mua sắm

không thích: chạy bộ và các hoạt động phải chạy, nghe nhạc, đồ ăn ngọt, phim truyền hình, học nhóm online, call điện thoại, chạy xe"
2825,Linh hoạt,Món nào mình thấy hợp thì đều thích ăn,"học, coi phim, tham gia hoạt động ngoại khoá, du lịch, ăn uống"
2826,"Người hướng nội cởi mở, thích tụ tập bạn bè thân thiết ở nhà","Bún chả, bánh xèo, bánh canh, nước dưa hấu ép,...","ca hát, vẽ, tâm lý học, thiết kế "
2827,"Hướng nội, thích ở 1 mình, cá tính mạnh","Pizza, spaghetti, khoai tây lắc, salad, các đồ ăn hỗ trợ cho việc giảm cân","Cờ vua, hội hoạ, âm nhạc, ngoại ngữ"
2828,ít nói,"Cơm, cà phê, trà","Đọc truyện, ngủ"
2829,Trung lập,Không rõ,Xe cộ
2830,"Một người hướng ngoại làm biếng, thích ở một mình","Trái cây, rau củ",Trang trí phòng ngủ
2831,Kiểu người vừa hướng nội vừa hướng ngoài.,"Hơi kén ăn 1 chút, thích uống trà sữa ạ :v 
","Tâm lí học, thiết kế "
2832,không phải hướng nội nhưng không thích chỗ đông người,tất cả các loại mì,vẽ
2833,"Ít nói, hướng nội, nhưng vẫn hoà đồng và vui vẻ","Các món về tôm, lẩu, đồ ăn chay, ức gà, sữa đậu nành, ngũ cốc, nước ép.","Nghe nhạc, đọc sách, thiết kế, vẽ, chơi game"
2834,"hướng ngoại full time, hướng nội part time, thích trò chuyện, dễ quạu dễ nguôi, thích mọi thứ có trật tự, ngăn nắp dù hay bày bừa (xong rồi dọn ngay), thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra, hoặc có backup), hay dài dòng, v.v","Drink: (ưu tiên) nước lọc, nước trà, nước trái cây, nước thảo mộc, sương sáo các thứ
Food: cái gì cũng ăn được. Thích rau, củ, quả, trứng, cá, các món nhiều gia vị và mùi hương (hành tỏi tiêu ớt sả đầy đủ), ăn được đồ nặng mùi và 7749 loại mắm. không thích đồ ăn chứa quá nhiều dầu và chất béo hay phô mai. không ăn được cua :3","Nghe nhạc, xem phim, hát, tấu hài, dọn dẹp, vận động thể lực (nhẹ), vẽ, tám chuyện, chụp ảnh, đi dạo ngắm cây"
2835,"Khá hướng nội. thích sạch sẽ, thích yên tĩnh",Trà sữa,"Vẽ, lướt MXH"
2836,Một người hướng nội nhưng cũng thích xã giao với mọi người,"Mình thích ăn các loại đồ ngọt, đặc biệt là chè","Mình thích xem phim, nghe nhạc"
2837,"Ít nói, dễ ngại, nhưng không hẳn hướng nội :))",Fanta vị nho : D,"Kpop, chiêm tinh học, thần số học, tiếng anh..."
2838,Hướng nội,Trà chanh,Travelling
2839,Lowkey,Thích đồ healthy,bơi lội
2840,"Hoà đồng, thân thiện","Gà rán, mì gói, pepsi,...","Anh văn, đá bóng, chơi game,.."
2841,Một người vui vẻ và hoà đồng với mọi người,Món nào chay đều thích,Xem phim
