,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
333,Nữ,Tra Vinh,mình không hẳn ít nói nhưng cũng ngại nói chuyện với người khác .... hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn toàn tự hào khi làm tốt 1 công việc được giao,ít đường đồ bình dân hoi. hải sản nước thích đồ chay bánh khọt,xem mv ca nhạc bóng bàn thích bơi cà phê,Thích 1 mình,thích vẽ tám chuyện đi coi phim,9,3
334,Nam,Bac Lieu,là người hướng nội,đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í. mắm chưng,thích nhảy thích đánh cờ … thích chơi với chó mèo,Vui vẻ hoà đồng,phim truyền hình ...) mình thích hát chính trị thích môn toán,9,9
335,Nữ,Hoa Binh,hướng ngoại thích giao tiếp vui vẻ hoà đồng vui vẻ... riêng tư hướng nội về đêm. có thể chia sẻ giúp mn vượt qua sự tiêu cực nhưng bản thân mình thì không chia sẽ,bún chả nướng hải sản,bới lội holywood học tiếng nhật,"Yên tĩnh, chung gu giải trí",thiên văn học edit,4,4
336,Nam,Binh Dinh,hướng nọpi người thân,trứng ốp la trà đá,đi tản bộ,Respect private space and friendly is good,phá máy tính lướt mạng,5,3
337,Nam,Bac Ninh,mình là một người hướng ngoại,thích uống trà sữa ạ :v thích đồ chay ăn sushi bò nea nem nướng nha trang,edit call điện thoại thường thức tác phẩm nghệ thuật travelling,"Dễ thương, thích nấu ăn, quan tâm bạn bè",bóng rổ thiên văn học sự logic truyện,1,1
338,Nam,Ninh Binh,khá hòa đồng dễ bắt chuyện,mỳ tôm,phong thủy toán,Rich,mình thích ngôn ngữ tiêu tiền. bới lội âm nhạc ( nghe nhạc) chơi cầu lông,5,3
339,Nam,Lang Son,thích ở 1 mình,nước gas,chơi code,"Vui tính, dễ nói chuyện, tiền bạc rõ ràng, biết làm việc nhà, chia việc nhà thì phải lm, gọn gàng, dùng đồ của ng khác thì phải biết mượn",chơi bóng rổ cờ vua xem mv ca nhạc nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster đá banh,1,4
340,Nam,Hai Duong,mình là dễ gần tìm người người làm đồ án tốt nghiệp chung. thiên về cảm xúc nhiều hơn lí trí,thích ăn cá thác lác chiên các loại trà trái cây lẩu chay,android esports thích coi phim lập trình thư giãn,Vui vẻ hoà đồng,đánh bóng bàn đi đây đi đó với bạn bè( một mình) ngắm bầu trời tò mò về cách vận hành của xã hội thế giới,1,2
341,Nam,Bac Ninh,em thích ở tập thể nhưng có không gian riêng. em hướng nội hướng ngoại part time hướng nội đôi khi hướng nội thích một mình,đồ hàn coffee chill trà sữa double trân châu moutain dew,tập thể dục ngoài trời đi đây đi đó với bạn bè( một mình) pokemon nghệ thuật,"Vui tính, đơn giản",thích bơi online shopping,4,2
342,Nữ,Bac Giang,huong noi va thich o mot minh mình là người ,bún cá châu đốc thịt kho tàu bò né,xem phim đặc biệt là thích nhạc của sơn tùng m-tp trang trí phòng ngủ thích những gì cần tư duy logic thích nhảy học nhóm online,Thích 1 mình,được ăn vẽ...,6,3
343,Nữ,Thai Binh,là một người thiếu ngủ là một ambivert thích có ko gian riêng tư 1 mình,.... thích ăn trứng vịt lộn bún rêu,bơi lội nhảy dây badminton môn nào vui thì môn đó chơi. ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính toán học,Sạch sẽ hoà đồng vui vẻ trung thực ,chơi game uống cà phê,5,3
344,Nữ,Dong Nai,o tập thể không thích nơi đông người hướng ngoại 65% hương ngoại nhưng khó kết bạn với hơi trầm,nước c2 chanh gà rán hay đồ chiên thích đồ ngọt bò né mì trộn,đu otp thích đi du lịch đọc truyện tranh coi anime,Vui tính  thân thiện ,truyện vân vân... tập trung nghiên cứu một vấn đề nào đó,4,5
345,Nữ,Dak Nong,hướng trung (ambivert) lúc thích một mình chỉ thích ngủ một mình hướng nội khi không có ai,nước ngọt miễn là nước ngọt có ga đậu hũ cà chua. bia không đặc biệt yêu thích gì,uống cà phê,vui vẻ hòa đồng,xem anime bóng bàn đếm tiền văn học,1,8
346,Nam,Ha Nam,hướng ngoại thân thiện vui vẻ hướng ngoại partime hướng nội tích cực hướng nội ít nói nhưng hoà đồng thân thiện ko thích đi chơi,trà sữa double trân châu bún riêu fanta bò nướng,vi vu dạo phố các hoạt động phải chạy chơi đàn xem anime,"vui tính, hòa đồng, sạch sẽ, gọn gàng",học nhóm online cà phê đi chơi cùng bạn bè người thân nghiên cứu về tài chính nằm dài nghe nhạc,8,7
347,Nam,Kon Tum,mê chơi đá gà,nước dừa các món về tôm rau má mix trà olong,cafe các hoạt động phải chạy,Sạch sẽ hoà đồng vui vẻ trung thực ,ko đi chơi thích môn toán thích chill,5,3
348,Nữ,Bac Ninh,sáng nắng chiều mưa là người hướng nội part time trải nghiệm nhưng không phải e sợ đám đông,xoài chua chấm muối ớt chua lè,quay tik tok chơi yasua esport mình rất thích nghệ thuật,Vui vẻ chân thật,thể hình toán học thích những gì cần tư duy logic,2,8
349,Nam,Thai Binh,"là một người 2 hướng khó bắt chuyện với người lạ mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự thoải mái ",revive ăn đồ tốt cho sức khỏe,tin học thích tranh biện ngôn ngữ bóng đá,"vui tính, sẵn sàng quan tâm chia sẻ, biết lắng nghe, chăm chỉ làm việc nhà, biết giúp đỡ",ngủ coi phim ăn,2,8
350,Nữ,Ninh Binh,dễ tính,đặc biệt là mì cay trừ đồ quá ngọt quá mặn thì cái gì cũng có thể ăn,tấu hài ca hát thích chơi nhạc nghệ thuật,"Vui tính, hòa đồng",sự logic thích học thích code tấu hài đếm tiền,5,5
351,Nữ,Soc Trang,lạc quan năng động tình cảm,mình ăn thích ăn đồ healthy,nhảy chơi đàn piano thich chơi thể thao võ tám chuyện,"sạch sẽ, gọn gàng",đi chơi trang điểm chụp ảnh pokemon đi tập thể dục,8,7
352,Nam,Quang Binh,trầm tính. nhiệt tình nhộn nhịp thích tụ tập bạn bè thân thiết ở nhà,vị đậm đà😋 không quá kén chọn,đánh bóng bàn làm gốm,Trúa hề,đi phượt mình thích đọc tiểu thuyết và truyện tranh chạy bộ uống cà phê nghe nhạc xem phim đi lượn đường,6,4
353,Nam,Tien Giang,lúc hướng ngoại người đang học trường fpt cũng có lúc hướng nội có lúc hướng ngoại nói nhiều,có ăn . nhiều lắm nào cũng ăn được bánh căn bánh mì nước trà,viết lách bóng rổ toán học,"Vui tính, hoà đồng",thích học bài tâm lí học kinh quẻ,7,8
354,Nữ,Bac Giang,thích sạch sẽ tính cách thất thường,hoành thánh fastfood,đi ăn thích động vật chơi thích đọc,Người biết lắng nghe,dark fantasy manga,6,7
355,Nữ,Hung Yen,nhưng ít nói,hủ tiếu …. đậu hũ cà chua. mi tom,... chơi cầu lông,"Dễ tính, sạch sẽ, vui tính ",nhạc cụ o buổi tối chơi cờ vua thích những gì cần tư duy logic,2,7
356,Nữ,Hau Giang ,thích đi chơi với bạn bè nhưng lúc high thì lại muốn nói rất nhiều,nước trà,đọc manga xem anime xem phim âu action nghe nhạc học nhóm online chơi,Rich,ráp pc shopping đi tập thể dục tấu hài,3,6
357,Nữ,Dak Lak,thích đi chơi đây đó nhưng cũng hơi trầm tính khi ở với người lạ có thể mời người ta đi ăn nếu vui thích ờ chỗ không đông người v.v,mì udon đồ bình dân hoi.,ko phá máy tính tám chuyện hít thở không khí trong lành ở công viên,"mong muốn được ở cùng với người có sở thích khoa học với mình, để cùng nhau nói chuyện ",bói toán ko thích gì hết,4,6
358,Nam,Vung Tau,nhưng lúc high thì lại muốn nói rất nhiều thích một mình nhưng lại sợ cô đơn,mỳ hoành thánh bánh xèo thích đồ chay mì ý,đánh cầu lông,Năng động vui tính thân thiện,ko,6,9
359,Nữ,Thai Binh,thích vui chơi nhiệt tình,đồ ăn ngọt món nướng món nào chay đều thích chè bưởi cà phê,ko nhiều lắm . chơi được đa nghề :) cờ tướng,có trách nhiệm,tấu hài esports xem anime coi anime chạy xe,1,5
360,Nữ,Son La,cá tính mạnh hoà đồng với mọi người mình hk thích sự gượng ép cần cù,bánh khọt gà nói chung,hích võ taekwondo bơi lội đi ăn nằm dài nghe nhạc thích đồ ăn nhạt,người sòng phẳng và thẳng thắn,quay tik tok thích học ngôn ngữ anh nhạc cụ thích đọc truyện ăn,5,2
361,Nữ,Long An,hướng nội tích cực hòa đồnh .... nhưng thích trải nghiệm điều mới thích kết bạn thích sạch sẽ,bánh gà phô mai trà sữaaaaa,thích đi karaoke học hóa đọc truyện viết code đi từ thiện,"Hoà đồng, cùng chuyên ngành càng tốt nhưng khác cũng không sao, vui tính, đơn giản",mình thích ngôn ngữ tụ tập với bạn bè tò mò về cách vận hành của xã hội vệ sinh máy tính,2,4
362,Nam,Hung Yen,cởi mở hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn toàn tự hào khi làm tốt 1 công việc được giao logic,nem nướng bánh tráng bún đậu trà sữa ...,xem bóng đá vân vân...,Khắc kỷ,thích bơi mình còn có thể chơi cầu lông nữa thích tranh biện,1,7
363,Nữ,Gia Lai,hướng nội thích ở 1 mình ghét sự cô đơn,mình rất thích đồ ăn vặt salad bánh cam hủ tiếu các món gỏi,kinh quẻ chạy xe thích ngủ,Bạn cùng phòng biết lùa gà,thích tiếng anh thích đọc sách mình thích chạy bộ phong thủy,5,5
364,Nam,Quang Ninh,làm quen nhiều bạn mới thích vui vẻ dễ tính,snack,văn học ngôn ngữ xem tin tức công nghệ thích bơi,Rich,tiếng anh...,6,8
365,Nam,Long An,khá hòa đồng dễ bắt chuyện hơi hướng nội thích ở một mình- lúc thích nói chuyện nhiều người,coca,esports thường thức tác phẩm nghệ thuật toán học,"Vui vẻ, hoà đồng, có tính tự giác, sạch sẽ, gọn gàng ",thích học bài,4,2
366,Nam,Hung Yen,"thích tự lập mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự",đồ chiên bún ốc gà nói chung bún bò phở hu tiu com tam,vệ sinh máy tính xem tin tức công nghệ,người vui tính hòa ,đạp xe đạp bới lội xem mv ca nhạc vẽ,7,5
367,Nữ,Vinh Phuc,khác trầm,bánh mì kẹp các loại,đọc sách chơi cờ vua shopping,"Vì mình khá kỹ tính nên mong tìm đc người bạn cùng phòng gọn gàng, OCD càng tốt. Không quá tính toán hơn thua, tính khôn lỏi",thích ngủ chơi bóng rổ chiêm tinh online shopping,9,1
368,Nữ,Binh Phuoc,không thích nơi đông người xàm hướng nội ít nói thik ở một mình ở giữa hướng nội,khoai tây lắc,cafe đi ăn phim truyền hình,"Tính cách thẳng thắn nhưng không vô duyên, học tốt, hoạt bát, nói nhiều, ăn nhiều, người chịu chia sẻ cảm xúc của bản thân.",hóng drama đi chơi cùng bạn bè người thân,5,1
369,Nam,Dak Nong,cá tính mạnh hòa đồng sợ xã hội hướng nội ít nói nhưng hoà đồng thân thiện,đồ bình dân hoi. bánh mì kẹp các loại đồ gì có vị cay beer bánh ướt,thích của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) chơi đàn piano thích tiếng anh đánh cờ vua,"Sống thoáng, thoải mái, giao tiếp khéo léo không quá thô thiển, gọn gàng sạch sẽ. Rạch ròi về tiền bạc",tiêu tiền. công nghệ đi chơi ngoài trời,1,9
370,Nam,Hai Duong,dễ chịu đôi lúc hướng nội bình thường 🤤 mình hk thích sự gượng ép,bánh . nước coca . mì cay... cơm chiên trứng trà dâu,chơi yasua đá bóng,"sạch sẽ, ngăn nắp, biết tôn trọng người khác",thích hút thuốc cầu long. bóng chuyền tìm hiểu những kiến thức đa ngành ko thích bị ép buộc,4,1
371,Nữ,Thanh Hoa,mình hk thích sự gượng ép cầu toàn hướng nội part time .. thường là hướng ngoại với ng quen nhma hướng nội với người lạ đôi khi hướng ngoại người hướng nội,bánh khọt nhật thịt kho mắm ruốc,lướt mxh vi vu dạo phố thiết kế,"mong muốn được ở cùng với người có sở thích khoa học với mình, để cùng nhau nói chuyện ",o buổi sáng stress thì mình đâm đầu vô luôn decor phòng,5,8
372,Nữ,Ca Mau,hướng nội 35% có phần hơi thích kiểm soát không thích ồn ào,ăn đồ ngọt uống nước ngọt matcha đá xay 7749 loại mắm. không thích đồ ăn chứa quá nhiều dầu mặn ăn cơm mẹ nấu,chiêm tinh học tập thể dục ngoài trời làm mô hình,Vui tính,học tiếng anh vẽ... ...) vệ sinh máy tính vi vu dạo phố,5,9
373,Nam,Binh Dinh,ngoại hướng nội nữa mùa nghiêm túc tôi là một người hoạt bát,"1. tofu
2. bánh mì ( thích mọi loại bánh mì)
3. nước ép",thích đá banh thích ngồi lướt mạng xh cả ngày,"biết làm việc nhà, sạch sẽ",nằm dài nghe nhạc coding tâm lí học nhạc cụ thích xem tivi,7,4
374,Nữ,Khanh Hoa,đôi khi hướng nội thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra hòa đồnh thích tham gia các hoạt động xã hội,trứng ốp la bún đậu mắm tôm lẩu chay,"chơi cầu lông thích:
1. thiên nhiên cây cỏ
2. bóng bàn kĩ thuật vẽ học","Hiền lành, thật thà",chơi hame ... đánh cầu lông,2,7
